Nume_Actiune,Timestamp
new Instance of Adresa,24/05/2021 11:15:06
addComanda,24/05/2021 11:15:06
new Instance of Adresa,24/05/2021 11:15:06
new Instance of Adresa,24/05/2021 11:15:06
new Instance of Adresa,24/05/2021 11:15:06
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:07
new Instance of Adresa,24/05/2021 11:15:08
new Instance of Adresa,24/05/2021 11:18:51
addComanda,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:18:51
new Instance of Adresa,24/05/2021 11:22:11
addComanda,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:22:11
new Instance of Adresa,24/05/2021 11:29:47
addComanda,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:29:47
new Instance of Adresa,24/05/2021 11:37:36
addComanda,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
new Instance of Adresa,24/05/2021 11:37:36
